D1_algoritmi: CONTENUTI ALGORITMICI, attività
D1_altri materiali: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_aritmetica: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_attività unplugged: UNPLUGGED, attività
D1_BeeBot: ROBOT, piattaforma/ ambiente
D1_Bit: ROBOT, piattaforma/ ambiente
D1_BlueBot: ROBOT, piattaforma/ ambiente
D1_cancellini: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_capacità di narrazione: COMUNICAZIONE, obiettivi trasversali
D1_carta/ cartoncino: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_carte / blocchi di programmazione: CARTE/BLOCCHI, materiali/strumenti fisici
D1_cicli: COSTRUTTI DI BASE, attività
D1_Code.org: CODE.ORG / PROGRAMMA IL FUTURO, piattaforma/ ambiente
D1_coding analogico: UNPLUGGED, attività
D1_coding unplugged: UNPLUGGED, attività
D1_coding: CODING, attività
D1_Cody Roby: CARTE/BLOCCHI PROGRAMMAZIONE, piattaforma/ ambiente
D1_Common Sense Selection: SOFTWARE DI CREAZIONE/RICERCA CONTENUTI, piattaforma/ ambiente
D1_conteggio: MATEMATICA, interdisciplinarità
D1_conversazione collaborativa / collaborazione: COLLABORAZIONE, obiettivi trasversali
D1_corpo: CORPO, materiali/strumenti fisici
D1_costruzione di mappe: GEOGRAFIA, interdisciplinarità
D1_costruzione mappe: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_Cubetto: ROBOT, piattaforma/ ambiente
D1_Cyber: ROBOT, piattaforma/ ambiente
D1_dalla piattaforma: MATERIALI CHE GUIDANO/STRUTTURANO ATTIVITÀ, materiali/strumenti fisici
D1_decomposizione: PROCESSI DI INFORMATICA, attività
D1_diagramma di flusso: CONTENUTI ALGORITMICI, attività
D1_esecuzione di istruzioni: PROCESSI DI INFORMATICA, attività
D1_forse (vago): FORSE, metodologia
D1_Geogebra: GEOMETRIA DINAMICA, piattaforma/ ambiente
D1_geografia: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_geometria: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_giochi disciplinari interattivi / attività ludiche: VIDEOGIOCHI, attività
D1_griglia/scacchiera: MATERIALI DI AMBIENTE/MOVIMENTO IN CUI SI OPERA PER LE ATTIVITÀ, materiali/strumenti fisici
D1_Gworkspace: GOOGLE WORKSPACE, piattaforma/ ambiente
D1_istruzioni condizionali: COSTRUTTI DI BASE, attività
D1_istruzioni di base: COSTRUTTI DI BASE, attività
D1_Kahoot: SOFTWARE DI CREAZIONE/RICERCA CONTENUTI, piattaforma/ ambiente
D1_lavoro in coppia: COLLABORAZIONE, obiettivi trasversali
D1_Lego (dedotta da link inserita in altre risposte): ROBOT, piattaforma/ ambiente
D1_Lego: ROBOT, piattaforma/ ambiente
D1_lettura codice: PROCESSI DI INFORMATICA, attività
D1_libri: MATERIALI CHE GUIDANO/STRUTTURANO ATTIVITÀ, materiali/strumenti fisici
D1_LIM: LIM, materiali/strumenti fisici
D1_ludico/motoria: MOVIMENTO E PERCORSI, attività
D1_mani: CORPO, materiali/strumenti fisici
D1_mappe: GEOGRAFIA, interdisciplinarità
D1_Mind Designer: ROBOT, piattaforma/ ambiente
D1_misure: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_mTiny: ROBOT, piattaforma/ ambiente
D1_occhi: CORPO, materiali/strumenti fisici
D1_orientamento spaziale: SPAZIALITÀ, interdisciplinarità
D1_origami: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_Ozobot: ROBOT, piattaforma/ ambiente
D1_PC/tablet: PC/TABLET, materiali/strumenti fisici
D1_penna/rello: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_pensiero creativo: CREATIVITÀ, obiettivi trasversali
D1_percorsi: MOVIMENTO E PERCORSI, attività
D1_pianificazione: PROCESSI COGNITIVI, soft skills e metacognizione
D1_pixel art: PIXEL ART, attività
D1_presentazione di una regione: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_presentazione: COMUNICAZIONE, obiettivi trasversali
D1_programma il futuro: CODE.ORG / PROGRAMMA IL FUTURO, piattaforma/ ambiente
D1_programmazione: PROGRAMMAZIONE, attività
D1_pseudo-linguaggio: CONTENUTI ALGORITMICI, attività
D1_quaderno: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_retta dei numeri: MATERIALI DI AMBIENTE/MOVIMENTO IN CUI SI OPERA PER LE ATTIVITÀ, materiali/strumenti fisici
D1_ricerca informazioni: USO TECNOLOGIA E SVILUPPO CONTENUTI, attività
D1_riciclo: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_riferimenti topologici: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_risoluzione di problemi: RISOLUZIONE COMPUTAZIONALE DEI PROBLEMI, obiettivi disciplinari
D1_robot DOC: ROBOT, piattaforma/ ambiente
D1_robot: ROBOT, materiali/strumenti fisici
D1_Robot: ROBOT, piattaforma/ ambiente
D1_schede: MATERIALI CHE GUIDANO/STRUTTURANO ATTIVITÀ, materiali/strumenti fisici
D1_scienza: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_Scratch: SCRATCH, piattaforma/ ambiente
D1_segnalini: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_sequenza: COSTRUTTI DI BASE, attività
D1_slide: MATERIALI CHE GUIDANO/STRUTTURANO ATTIVITÀ, materiali/strumenti fisici
D1_storytelling: STORYTELLING, attività
D1_strutture dati: CONTENUTI ALGORITMICI, attività
D1_Super Doc: ROBOT, piattaforma/ ambiente
D1_sviluppo contenuti2: USO TECNOLOGIA E SVILUPPO CONTENUTI, attività
